"SURVEY_YEAR","BIOMASS_MALE_LE112","CV_BIOMASS_MALE_LE112","CI_BIOMASS_MALE_LE112","BIOMASS_MALE_GE113","CV_BIOMASS_MALE_GE113","CI_BIOMASS_MALE_GE113","BIOMASS_MALE_GE120","CV_BIOMASS_MALE_GE120","CI_BIOMASS_MALE_GE120","BIOMASS_MALE_GE125","CV_BIOMASS_MALE_GE125","CI_BIOMASS_MALE_GE125","BIOMASS_MALE_113TO124","CV_BIOMASS_MALE_113TO124","CI_BIOMASS_MALE_113TO124","BIOMASS_MALE_TOTAL","CV_BIOMASS_MALE_TOTAL","CI_BIOMASS_MALE_TOTAL","BIOMASS_FEMALE_IMMATURE","CV_BIOMASS_FEMALE_IMMATURE","CI_BIOMASS_FEMALE_IMMATURE","BIOMASS_FEMALE_BARREN","CV_BIOMASS_FEMALE_BARREN","CI_BIOMASS_FEMALE_BARREN","BIOMASS_FEMALE_OLDNOEGG","CV_BIOMASS_FEMALE_OLDNOEGG","CI_BIOMASS_FEMALE_OLDNOEGG","BIOMASS_FEMALE_NOEGG","CV_BIOMASS_FEMALE_NOEGG","CI_BIOMASS_FEMALE_NOEGG","BIOMASS_FEMALE_HATCHED","CV_BIOMASS_FEMALE_HATCHED","CI_BIOMASS_FEMALE_HATCHED","BIOMASS_FEMALE_NE_TOT","CV_BIOMASS_FEMALE_NE_TOT","CI_BIOMASS_FEMALE_NE_TOT","BIOMASS_FEMALE_TRACE","CV_BIOMASS_FEMALE_TRACE","CI_BIOMASS_FEMALE_TRACE","BIOMASS_FEMALE_QUARTER","CV_BIOMASS_FEMALE_QUARTER","CI_BIOMASS_FEMALE_QUARTER","BIOMASS_FEMALE_HALF","CV_BIOMASS_FEMALE_HALF","CI_BIOMASS_FEMALE_HALF","BIOMASS_FEMALE_THREE_QRT","CV_BIOMASS_FEMALE_THREE_QRT","CI_BIOMASS_FEMALE_THREE_QRT","BIOMASS_FEMALE_FULL","CV_BIOMASS_FEMALE_FULL","CI_BIOMASS_FEMALE_FULL","BIOMASS_FEMALE_SC2","CV_BIOMASS_FEMALE_SC2","CI_BIOMASS_FEMALE_SC2","BIOMASS_FEMALE_SC3","CV_BIOMASS_FEMALE_SC3","CI_BIOMASS_FEMALE_SC3","BIOMASS_FEMALE_SC4","CV_BIOMASS_FEMALE_SC4","CI_BIOMASS_FEMALE_SC4","BIOMASS_FEMALE_SC5","CV_BIOMASS_FEMALE_SC5","CI_BIOMASS_FEMALE_SC5","BIOMASS_FEMALE_OVIGEROUS","CV_BIOMASS_FEMALE_OVIGEROUS","CI_BIOMASS_FEMALE_OVIGEROUS","BIOMASS_FEMALE_TOTAL","CV_BIOMASS_FEMALE_TOTAL","CI_BIOMASS_FEMALE_TOTAL"
1975,46901.1549308966352920819042882885784233,0.1470965804658137176692331416381535708316,13522.0390400551761435758247279185634796,247989.3659187404248790264859527550490247,0.3734034518449072318184477108499959587525,181496.1670995794390476256464528453386271,234298.6590633780873874978282454211667759,0.3894396916252632874532806888830395458748,178840.5871663551366972338133138021868953,217896.0703296971697307212747791008554254,0.4038278575035908760922825728241772934113,172465.3063497989943528117016738960122484,30093.2955890432551483052111736541935983,0.203066535290556539544533027773660739048,11977.4448906535391711436197806863263514,294890.5208496370601711083902410436274469,0.3184102774347248604200128106626086149182,184036.4982109427663004196113956887110293,9550.160360118343078569304625525479127236,0.2405504830879430631104175664851346089416,4502.699548859831771149135600892549864843,715.881638150878159688909683829905562365,0.2424903508858158856657169594322417445109,340.245003670721485158297534796342596021,313.804270930809940399700719041872499914,0.3374029956786740610326120254113685670709,207.521862094882359953697835879355215857,644.233648582922574137419456556172789241,0.2604056283257170778182283588293336702133,328.813653373698122306783041830569815202,385.452260498765525951190946315605273038,0.3283515037763847985394873800160129948515,248.065105562801872780982942866241224873,1029.685909081688100088610402871778062275,0.2010033054626216728755073596051051882185,405.661731774859528149671633175080795173,158.213587371836110237956650238105916445,0.3994048957845861538304957427785226095727,123.854911496869286430523232448304414804,54.75862201152591346394323060202401729274,0.9393846018906480521415797399879376292903,100.821236423220385399898477716552876614,629.476864725854473994720779754243907284,0.3277731728247076623144687042142294430359,404.398233175047544883853593659207735643,586.669167411493535691654541516769094555,0.3915725588048766041315591685892889309404,450.258152228280297188751224560188579982,26610.7717104200388668731263618843186772,0.2076949489499021197506765574415900276645,10832.7688289498513936233484129335511383,19580.0986006537454818354428463975709242,0.1560597199995015299096548287108142881982,5989.102822154084276923015361988967858554,8990.894075710581436842391741005993688731,0.505718311561850182957786399547247166431,8911.845151943601826901512877143739389036,654.35882964132071126792499190503073502,0.4361343932027466778182755962165837784912,559.361246560854714078475029987264185378,523.188774247663206981850937218113984485,0.5759199619509216858484227776305103269439,590.577123557412557472133381411380700378,30388.360830477845425820884746873288153,0.1985258782123982603755201803566546468228,11824.437001759482461582275500138273459,40968.2070996778766044787997752705453426,0.1669129635225005413156007968570013706189,13402.7247201331309871900009664448489594
1976,32579.2278033674748961623682876428508558,0.1428239412868610347486416894113638718977,9120.063689160476596353404340181015220478,124470.5184247334294119633178315731047321,0.16138980506704985402274312845738477953,39373.0145021182362629714575072391660609,115106.78110691231860750116332632586591,0.1679956636213329797008704342347267953163,37901.382555567646347085442241423563018,106348.998148680628259080708415248302503,0.1749577212851198169011492247170575212024,36468.8936190152339633856963289199730701,18121.5202760528011528826094163248022289,0.1422936263951422068645794635596073286199,5054.010598310397051957892932933540543436,157049.7462281009043081256861192159555881,0.1380412882719619208946012273742308300591,42491.5246125390129183302926351849471255,6403.176171708571371872459902268063750879,0.2528969262604152537431794271993574448747,3173.913401372900006019195024768514886982,1229.149214855717945405627172792813038104,0.2310570269258601379831406004615943443356,556.646983936322239687739513953029308671,489.22156989127508612191870608202670989,0.4568909103849368925966773185796944527645,438.10094135724250388502336799540735477,1718.370784746993031527545878874839747985,0.2175698314353383596592464618514111076379,732.776658282394205877677575859561885859,0,0,0,1718.370784746993031527545878874839747985,0.2175698314353383596592464618514111076379,732.776658282394205877677575859561885859,726.61370467792249550354117645673739943,0.3882668440106377766548178274212409570712,552.955219463142133896496940161012068965,615.978367097858471419668334965271224597,0.2695472653289601398509792949644152260182,325.429157331931093503325639495451328913,1415.424081811614517104783914028294328243,0.2152285156094801692954647474329720803165,597.093663209001414101597592122055696499,4999.109764145752722329728522105002896977,0.2681516436768329076968848911387564101533,2627.418220346112639793111573303582087367,20789.0391450261938974944319454624697063,0.2120087207141042127764859963517883219333,8638.616884264378808727451323866700961816,24459.2549200101533392257948118229926903,0.2223697477267555926524845211037897841874,10660.4367584482441477818431930632136662,4650.885615307491812467853735368675730915,0.2946334473797682520245538922493575201734,2685.800665925761117121372579256905765386,6.415111677902948199831994905822195719,0.9999999999999999999999999999999999999984,12.57361888868977847167071001541150360922,0,0,0,29438.2010776840704026601674895970006612,0.1980889749372298047930799967345385648434,11429.5108279300028533398359636743677052,37559.74803413963480606017327073990416,0.1694163315328533272293173273296627507218,12471.9400614747833056011032424196202005
1977,30200.8548117145286529579523052659141245,0.1900747829635498070636306365571806464413,11251.2250103546230975788632978282646949,108300.0422014968659033842537485932327648,0.1373374956773288946687720982602224921004,29152.3668922971208732681804787409558171,100046.132963827087129329999906241671087,0.1442415909659123208138796361568050094123,28284.3942418316630638087137322245367363,91717.0566144107845879542226538105528336,0.1486157222769799002865663881599111567484,26715.969363183858481453819141839894078,16582.9855870860813154300310947826799308,0.13126141907056100630102730212731317576,4266.344192351655347861398455035912638026,138500.8970132113945563422060538591468903,0.1213497175035427692386863294576707807835,32941.8076640193275007375850557748870026,14474.4401099599928644254039488317645724,0.5960395165048787850520818519220476372689,16909.5830382459821800705374752457523306,565.25186415759111445591410470159161857,0.3809041269060594313283160925585077795688,422.001264885980714533663280440146953704,863.461031495122810479625935398046441148,0.3101646189103043974793140168219888929125,524.917521084062894419167284537011628805,1428.71289565271392493554004009963805972,0.292699741635180033978219344667744228386,819.640435039662622867812502979678651665,0,0,0,1428.71289565271392493554004009963805972,0.292699741635180033978219344667744228386,819.640435039662622867812502979678651665,155.606232590066808143757389709170759777,0.4285218592363317709564441999563709508486,130.694117312582759756467011107400398121,125.353279431602207639308992151720852547,0.3649789655539998768733292626280307995109,89.67256810126542027710406976134704817893,414.535478460490154448451229579688578354,0.2678887309007623963925608346119533481982,217.656791146717225896194399365701095525,403.125434569502153785375032898529756079,0.2925569356410219312953496181430035173427,231.156797960553324850359976486933294265,36027.7803205947335008503738241215097573,0.3259693467638778779047018453910590641882,23018.1459522552495749691742676129912974,22977.3924280412450908360330993904086775,0.4311521827605496533442446208372228817914,19417.2356830115889595118807238269077606,12972.5549256755864336540407847099504554,0.2448697029233449763752901520992883929701,6226.107914781634583316004537634736492671,203.12079224768502654151439236245574274,0.5797911333167304198566866730049349931687,230.824563301455805872708741815943201862,0,0,0,37144.6964460218375008797363784881668775,0.3174678373613101596917894583573101128099,23112.8030423153565731385411321134806853,53047.8494516345442902406803674195695096,0.2783116570422675485558540416660919991274,28937.1163714897817073812471217706442987
1978,24736.5632535598435898099326362979838067,0.148642837966893643062602260891097713434,7206.749408571154072635231208446548718585,73571.2570861216596308179295681417576543,0.1328918731040729081936655855459494972439,19162.9634351601685037038069965946819259,67100.6416633582324286141832190226184512,0.1365524605127832286997480447286575072546,17959.0051333915586715077870107394460238,60259.2937341538203843830260873484896233,0.1425771005980768646850967613573290662622,16839.5269540188837728149722049639537339,13311.9633519678392464349034807932680308,0.1715710116126263040812735635587930620489,4476.536156940766657660358090955318096967,98307.8203396815032206278622044397414608,0.1179996005889377476407006643691222950336,22736.5557283088768757529096153412323588,6816.969407910008859817607801905152959473,0.2423979404583494297675289653313888599775,3238.741915504121391965166893980317598959,312.781632890644503316159376828750067811,0.2043942531925604629743010376044460236376,125.304305803384464366959866755846007411,1179.408021905146499770058270393849914201,0.3680582129201784055284408468649199431114,850.817985338416460840410150983845229517,1319.884043647925965230314363733785214232,0.3213786029716024912459487972330246425402,831.397680462876901663868231079373029708,0,0,0,1492.189654795791003086217647222599982001,0.3007103970389351737253887197512770206104,879.485209360026502619261892055470962809,368.572865448095627443126188778472841704,0.4021250812305809617674277257638594931704,290.496291177098744904314663206775425971,575.284432058761799114764424358750678018,0.4348271019039394683286225159411234977642,490.292554230627710486634244281874666523,1385.23815773327060179580187147639450907,0.488020415667348542221116462838339830114,1325.008023009115173432578190516423188154,4876.143777369508271138736109840978964319,0.4560364773894519558948300046486462617569,4358.450885693129756606321832385711497692,16928.9715304564226860632928255395522938,0.2025572521634277829052549034012932942871,6721.008472117817075491100279572493749301,5872.583016541793994809467145284065206439,0.1725084442324574418074026519039876806667,1985.617513226770464966459694478959489899,10759.0943313284863022473497336765074494,0.2673754521553419765639908269069998134161,5638.366714777024299412132452567669552167,5337.959922647301157840628483813959046282,0.3954147654005093861761671605983196829005,4136.988014240571481837893433502732936222,1556.001965482689887934175079297035552269,0.9777294280921988613824669575807750936159,2981.843867170586365612993534587346268461,24264.4541176022058572393551099311718306,0.2296724795343016292080134454807839550467,10922.8395898025473030777260373092029059,32573.613180308005720143180559058924772,0.1994994375554531891473750653941573989394,12736.8983168958741436001366166354131913
1979,22941.2711175829278563496554068836302893,0.2282296772748808478015788561640752303155,10262.3226507453335316394656750654144745,27095.0975860396439749478658144957729085,0.1401119826562694686242153420932420443941,7440.841772368426072310969593493722704812,24212.0520367072447856025028911172185623,0.1456385748958986355995071818242864399349,6911.369157705511014756972711963961023428,21052.4975669167886805839781403084612531,0.1496410427847463135636559887757021064825,6174.622670708055171108270221792356956543,6042.600019122855294363887674187311655354,0.1729129241250983939329972170769109780049,2047.893531704820428228251692540598880988,50036.3687036225718312975212213794031977,0.1383376589774997376027441597621955275278,13566.9516559805927636688404578427599526,3826.855468656852365474958082874319374018,0.2229528601562934296931125234929264895342,1672.288409397924000848594985077401638223,774.692943630335606394312429862228977344,0.3591977711763032678111070725920192607537,545.405238248131146809568438316549307863,360.931286447649545997229646544475759769,0.3925875962081850239385097323071925286149,277.726406439908783100697493556886020608,1043.293135362358441363630508101986807987,0.3297681353958630376653596565086422188101,674.327870562707417013905449108453475489,75.91665425571987599798123745569675006755,0.4467407033786943385069739642180758975627,66.47351665990059482530916771234328414913,1135.624230077985152391542076406704737116,0.3080253205839860669499350853555452099491,685.60999436411890918681070189584020815,276.89049382003716336688215921504427807,0.406467739661587367529913214203684162361,220.592224187350013916725965742395739716,323.922350321682745095944179798084132226,0.457719197098963089438169595507825462856,290.600337098833361627956980514861876561,797.707306039085845748938784831089623207,0.4596190962783713332732341759505990643857,718.617361748824093929508810777007497317,2645.277389558564172200309301520035247069,0.4672836171522020813368498046680211180786,2422.745782449166823268327630987800870559,14058.8094397759878193970980488488709318,0.3106880048437343722445954196679843721092,8561.090772431630815028661062259194776703,10692.7322957553075751691327895058316612,0.3919590676203871038825960611185977891678,8214.582226678957212473052510246956099171,4304.948855008016610612861845163480351925,0.3757558945159561015822296240067475772243,3170.515419403597443359870031088971651524,545.97461211522250157735455476972761191,0.4056164321076884965709083336554011139773,434.05429740760918987616838195441920954,113.159651019578480268839977204271971766,0.4605681401161952701548393753652862866616,102.150750812318561706095445690530906827,18186.7665358887837013181100951130931648,0.3007958771215774950643624747666780850307,10722.1886086493195658438356823856235876,23149.2462346236212191846102543941172759,0.2725595587976181492141079100052942388772,12366.7147468046173691161542711382913524
1980,87614.7453683317670076839732280226115078,0.1675560333933886710584146157709134636699,28773.5432333513081883841670143729712977,64869.1629720283222166232157969992780683,0.2201560478715545472383566886250416405654,27991.4235553687802719398691257758582615,53803.5610325454716943962648507545335644,0.2417435852961156749387112388713099853926,25493.0648615836067126683374614431673466,46927.4500637168374106082783196688845796,0.2531744943918921987617884976055430669026,23286.4335482452681305914867079367555877,17941.7129083114848060149374773303934885,0.1925179405257956192434127914001125858791,6770.039172481891564932591776836839825981,152483.9083403600892243071890250218895773,0.1551799191074407085980198277348857321199,46378.3835004292251875473297272044318864,13519.6477974359119776911089334775776472,0.2284011292515353909175504618476919997951,6052.289535074095169504032015334327016002,382.228442794363509621974238479695672778,0.2851091232161300197527060249890347643343,213.594559739000673306921374328972297211,985.78335675349140339742027642572021702,0.4368633352816818833499302070603168489332,844.079105989144586179239225595861854521,908.707773611323544146560160111361297722,0.3922127041337107898534808353390295118081,698.557196984625329391341551525092966919,459.304025936531368872834354794054592071,0.4203979446364188861025939168164552721912,378.457318195222428327834345052154370599,1368.011799547854913019394514905415889797,0.3232736313260541396279689778467669346296,866.794598587981247539090296015165364647,620.886872576905690067808454516413898617,0.3951389039083821042882209702349751409795,480.859654231037969834620117902552773245,1084.516711965719196643187319758846456113,0.3140845300179601446163698249460396316611,667.634646677777679271837474227353267183,2433.141296125988317609539868153101005723,0.3164876458729060337585744143411504296737,1509.315955338648153254045982638531878376,3240.155957862033446825769518462343314686,0.2349687077331884731283660317649513799277,1492.21710621475362635473197926521122138,53817.5444458686456326684551428860038099,0.3060391878394589389482300915082839267127,32281.744083706144168060480534963121713,46614.5597743151237518895085086197596038,0.3465167855119887688930880955513179674403,31659.3457256621813282244433886437311693,6807.297502464700583358592679000606346604,0.3136936917247768281630788236655462121026,4185.396317065329830188751145567604731389,4897.469015054111649462087937290106048014,0.43529232679281484421126440484885408872,4178.388138598894043517031166887160472909,1689.38535665227384195287384111175328959,0.5809276093204234155823321157346223544935,1923.5647690634351747191605926724374781,62415.2230257690706374938481153033429756,0.2794695890200094914390035340419425812791,34188.5871861036742835091925444347879442,77302.8826227528375282043515636863365122,0.2442662696578195709557904922696878277075,37009.6740732299936569366159915130740512
1981,46075.1323597442417756968190611722876688,0.1671886569195988152355898939484165553872,15098.3494133720354154807333120722070766,33854.7737763264258401221712469895502076,0.1453517101833335879371400972265619280506,9644.864561867484492157576259497244748052,27067.2176896136972978731950204078885521,0.1559591108156624722504109521682920585539,8273.903238127199457190703482750249092106,22780.9842246274772408976216680668882055,0.1681775299657556523031552636844287793976,7509.249327889920921768161596291958769056,11073.7895516989485992245495789226620022,0.1317897266958656684976207804819735978501,2860.446929071636989566695029853037837004,79929.9061360706676158189903081618378767,0.1282710986975952745560905075688871327562,20095.2858825841156435414533845593726502,1524.775937021471738195062377317695173951,0.2099880613239725610566007829276175837702,627.562096218421760807442213998601132803,1603.747498647054018223557659392480036387,0.5303948139141762372332426716636625939498,1667.21393797605045265266363377490145766,1067.750333653745182629717667060797210957,0.3414500524975246319235862962737959850038,714.583478661428639308423942890017273715,2415.837950616705890519695103179807673749,0.4729575800755450354772456988078306575473,2239.4741871175489269075688336458585019,255.659881684093310333580223273469573599,0.3159376621059000329573036369707723595213,158.314267214545167787561707464961035268,2671.497832300799200853275326453277247348,0.4299824190614448902037926348348142090073,2251.446316882203579323039616901974028138,1314.297562170670166269392628454536817451,0.5047434643413968936820768324984910245164,1300.230885222733987085593992595653176929,732.298034882155226046576513254974027301,0.494507335324505899412415149117553617801,709.768429790175438578546439511694177188,2345.378492294067435458599550845708364832,0.4408032048422485499482890095107934402991,2026.346697703759505115321174445755541065,1015.536410040597283565079711505071835526,0.4265515732368452112678104103901054504465,849.030160628944813470844375338121398959,34498.1478511635506844016123099029779256,0.2510084931089832651320182107055107182013,16972.2830900560850173894701797567648159,29822.444036275806349157437690608521971,0.3213810455210182379304418436738713431218,18785.3617589659326387281938855379621181,6111.151262837250269222214410845097652135,0.2883257058407046190376841912555638043983,3453.523922659452613742768306035536818952,3542.394296862269995958313518709859424343,0.261053208533598804923969250259688396641,1812.516658290553868765222550847152999837,216.156289921711319115605014283277491503,0.474165055499923497716754678142425425656,200.887768046476171594075939134160143116,39905.6583505510407957412607139632689707,0.2559362216975703761084632307799980742927,20018.0747082844982365240111690918258686,44101.932119873311734789598417734241392,0.2450383053119316260723202897275405132535,21181.0589069657770217727475084151413217
1982,32636.996663176731727727723441493225825,0.1627558293202670131175449075574831568958,10411.2484585387077212276464792524250189,33219.3835413326857929402482852148499245,0.1462244602127833791844538141000640736435,9520.67339678827299575225105397297852901,24698.9083835691213855417653606233912607,0.1457411198523840847193442669735695828044,7055.307271227490706115535602676068125073,19481.3307819658890860591117596866289829,0.1572120494671870295394785880485928795761,6002.891879618867272424333574969425503319,13738.0527593667967068811365255282209417,0.1454425378373451940423377248120679213107,3916.270626200673765129086854892640720578,65856.3802045094175206679717267080757496,0.1427323003799636139738988014927158654051,18423.671976922770409854337570118244958,1720.26552211080914126444533877736700864,0.2691907060057351884859488501366621043134,907.63580121209340516749236727727622383,172.842196506130871894345116981216108789,0.3319803184259771345471766966593294624574,112.465206569759253219342292658297468828,2075.810934444194899048319500316527990335,0.3894090624783793183870421941904715191164,1584.345596133993595930612790986382610556,1947.039534507174311231405039658870450639,0.4002128302474306431353095952354798613815,1527.291197309162016043042495919266644344,301.613596443151459711259577638873648474,0.3479692444924524907667902360879939518961,205.706420354630743692334472484403511608,2248.653130950325770942664617297744099116,0.3597877461137805366673905948751848148733,1585.714169881574473938559216265050187611,1442.345109882825521778327268099627582477,0.4646044279700421229880600292536287024203,1313.435052436495494271597964625116616322,1061.928372564012697480668236674832658618,0.4219860065892575074246020663435068084781,878.313069915349248310427995367962220322,1213.01151148056183203799646361459028555,0.3220696269947799054305183860962775115127,765.72136348412071509458697914431590148,3345.174913530657263656126081298812778599,0.3585672778288905864189731710249270963123,2350.96171470811716452782862295482691426,54656.8286095338622165352959590272702946,0.2613347599165183784851326180541095570927,27996.1091976428168334925874151128618712,5711.209406428555199007405590896857169138,0.4459880229580222613449619175802682394231,4992.376744069769089445485383468689488218,52861.9626345760923454229968839585014395,0.2846816022853232255362388347513000263828,29495.7033166056961638619474628924444933,2857.743479125943630109771450912544034978,0.3363501597484488572774099469967323971777,1883.956852419234358218232656047748741991,376.183054315370411188485399611203823671,0.3649644401195785014604604752776336126635,269.095138089337016786779570203662536874,61894.8279894041603630434773916228770811,0.2590077233765469343649324591711953766573,31421.2274331843529722348466862556885872,65863.7466424652952752505873476979881893,0.2515427002445800168929746484520493441312,32472.3875701943981407137786345759284807
1983,16281.9152987034785940360758063728590033,0.175137821778691329730317212981389390694,5589.095192408152175543520131225063460872,21762.9767383910724213661647550976958844,0.1535229714777850668079459277402051082185,6548.589039876236486076648420277586043708,16386.0796064935637609660269394887102015,0.1635648164409087998080008761627345018897,5253.164761923588155024060806945963357743,12888.8421170884183856417580552357583357,0.166879990794489988432375335123747422489,4215.744113548646223095044460412841780821,8874.134621302654035724406699861937548699,0.1593814537568162327500224526771788406316,2772.170054482745336522547575906293023417,38044.8920370945510154022405614705548877,0.1475898490184813666401162049318348323134,11005.4781484912492119501026713344920059,2338.43288886576777803934811024155456356,0.2361146216251363604519097944311242642877,1082.190865630617996021033686183577473012,26.70005648404977717872188580588967250502,0.4928044370072942641158071434811903022323,25.78949635522281008541674628246405347027,736.852660952457856307486093038857855483,0.2344994465983025609094865773840270521074,338.671420786962546058425414760836561376,258.88347095774823447387966193523257357,0.3739470007531217656738422361371693786407,189.745047118047397345021127939498357384,504.669246478759399012328316909514954417,0.2610460926633280917551082763554599150388,258.214192366027333095174438527672136849,763.552717436507633486207978844747527988,0.2287253379951856437475217230168682621164,342.301952610703066930474584995324845292,153.58810860685732910427204151469849664,0.2825792704567161970950241284032908807203,85.06559873466717035137768715253305623038,447.802236341253284586138322031134183777,0.5501231615662090426821425762744964895709,482.838908744439254049010635246228283974,403.771006760546234454736565015358643419,0.2477219522094991478522574516160739461247,196.044966399022087593152651677340801547,552.089008798830488789033047653588671093,0.2966276357241517733410349299839146016176,320.979120483003526301538355327679991546,18109.3969255880362333883134734160445862,0.1943837546629587821380223435568690961188,6899.538235392183948288824861570325993763,1445.430162403244062197604715466532003961,0.2154406237273025437423372638141812048091,610.352576455125779321416286225985388824,14721.8677718037177779217073175173541704,0.2299149466251964647134826747362002982269,6634.163788235805489625454356493772545422,2876.565553886026510542841007059441101061,0.334167160181096031423767520358500317703,1884.05733474503589535768934131929249441,604.653319113841579170947132201191201351,0.4247730955858225831162455176922995917123,503.407305747808279865737343768148152448,19666.6472860955235703224934496308245812,0.1868193557275051259052318524791073170227,7201.256335604567667927324897727648509004,22768.6328923977989818480495387171266727,0.1671519007527022614747592582803527533588,7459.407720389386683883543351175130360771
1984,12237.806133648968868368593565056798801,0.1444337554293753265163235938030553740146,3464.402504275146282830517814029419316688,18271.971512643619713916854569548848359,0.1489893356423440329289850865672200290191,5335.7646372274333737622104978497750297,14371.2946760640115652527540261245265834,0.1566018444698123296033837182722205192355,4411.119657234003876495123436260129081322,11154.2873536353725147877672844492995653,0.1721254116496773030094050492079126625686,3763.075152710425199769473779557706006853,7117.684159008247199129087285099548793583,0.156254466632454381273446470769545745656,2179.853086171242441699315401973639791002,30509.7776462925885822854481346056471598,0.1276815607465647920307281376181663631121,7635.250614702211790863854831015328593783,2244.218046916758862458867921390214622343,0.2114478855853810887381769134594234023677,930.088915193680382936184408797537428315,67.74454496932398067067450444212387735253,0.3263095818352998614785649510479143339288,43.32716051550303902882107812627864939338,693.831012275395375027814785249485011772,0.3079273376299920871850751958954821447227,418.753091295166317821820691887291951352,244.933900763596246609034202452763551896,0.2621866569034680909580794300538537017595,125.868065182924895926096943203199125009,516.641656481123109089455087238845337228,0.3928629304466263007350639810141020252806,397.819936105707601688089622427668659248,761.575557244719355698489289691608889126,0.2853826787998334846573826656360563933515,425.987326364548928022458600570856870882,159.999910151790682974259654350073923142,0.3340622839808569915318925842405230764565,104.761873427196641114363119694869309229,154.358233918199340077377965510622151793,0.3217866040374575851426003557540487031603,97.35400731960345761086613622280136916015,430.712355467326856323648103251995963373,0.2689637414447513720765136284015473528591,227.058172961428933397518029059374071249,947.148390937977324422593067850279117388,0.2442493116776760222485345257738107452242,453.427071384709944176628846440786233732,12447.8683237816199022020647598709282115,0.2389427035466637333506036898518111240292,5829.681528927424918120439623732120623871,1208.657850877728601445946490892530819421,0.2554411763990984389036010565762891542634,605.132327252737651727498762088651073804,5461.963418401200570004210926720755413432,0.2309914543430847802411273447028376649845,2472.867072227031580432381944516607774347,7268.130329596441697378010225587092748369,0.3498677454569083088598815445953112353564,4984.053369321650590143291346907651958558,117.473941249088039969335003486446674676,0.3194947074706313056063286274888497612531,73.5633128898070429162933906434368767239,14151.9789252339555800320390860222407662,0.2263014912786369310592486412615640091133,6277.123313235599869553492325050728297116,17157.7725293954337981893962971040642777,0.1984652046330081727340644192036702194346,6674.232838742419164793147673915678980044
